time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,,Magnitude,Difference,Square,Moving Average,Peaks above .32 and in between the start and end phases,Steps(1 if step),Total Steps
0.889099121,-0.350570977,1.761087775,8.992549896,-0.189721733,0,0.011724034,2.699996948,-24.96159363,-18.39503479,,9.170075452,-0.072148344,0.005205384,0.035672106,,0,
0.899078369,-0.181273043,1.986818433,9.034163475,-0.215302199,0.054358315,-0.040502686,2.699996948,-24.96159363,-18.39503479,,9.251833175,0.081757723,0.006684325,0.029372047,,0,
0.909057617,0.202828214,2.087409258,8.855435371,-0.236618936,0.083136164,-0.118309863,2.699996948,-24.96159363,-18.39503479,,9.100392976,-0.151440199,0.022934134,0.022798167,,0,
0.919036865,-0.110619962,2.330803156,8.969797134,-0.229158089,0.10338711,-0.196116507,2.799987793,-24.96159363,-18.97898865,,9.268340777,0.167947801,0.028206464,0.024824771,,0,
0.92904663,-0.131426692,1.748513937,9.443711281,-0.222762778,0.092728607,-0.21636799,2.799987793,-24.96159363,-18.97898865,,9.605116174,0.336775397,0.113417668,0.035067027,,0,
0.939666748,-0.315244436,1.835632801,9.196874619,-0.222762778,0.039436091,-0.214235857,2.799987793,-24.96159363,-18.97898865,,9.383572325,-0.221543849,0.049081677,0.035989739,,0,
0.949035644,-0.327968001,1.79671371,9.226364136,-0.196116507,-0.004263721,-0.203577623,2.699996948,-24.76348877,-18.78433228,,9.405399424,0.021827099,0.000476422,0.034074806,,0,
0.95904541,-0.257614285,1.889520764,9.778116226,-0.139626607,-0.011724833,-0.19824864,2.699996948,-24.76348877,-18.78433228,,9.962339623,0.556940199,0.310182385,0.062107301,,0,
0.968994141,-0.224233702,1.971250772,9.59714222,-0.072478198,-0.106585033,-0.207841083,2.699996948,-24.76348877,-18.78433228,,9.800063732,-0.162275892,0.026333465,0.057807227,,0,
0.978973389,0.046104126,2.07169199,9.311387062,-0.009593239,-0.137495011,-0.231289685,2.699996948,-24.96159363,-18.78433228,,9.539180379,-0.260883352,0.068060123,0.062046112,,0,
